numero,grupo,grupo_nombre,visual,audio,texto_es,texto_en
0,1,Presencia y Protección,"Cielos despejados, luz brillante o rayos de sol","Campanillas de viento o arpas sutiles","¿Ves el 0? El Universo te habla. Respira profundo y siente el círculo sin fin de su energía guiándote en este momento.","Seeing 0? The Universe is speaking to you. Take a deep breath and feel the endless circle of its energy guiding you right now."
1,4,Fe y Manifestación,"Caminos iluminados o amanecer","Melodía de piano inspiradora","¿Ves el 1? Lo que piensas ahora mismo se está manifestando. Suelta el miedo y enfócate solo en lo que más deseas.","Seeing 1? What you are thinking right now is manifesting. Release fear and focus only on what you desire most."
2,4,Fe y Manifestación,"Rayos de sol abriéndose paso entre nubes","Melodía de piano cálida y esperanzadora","¿Apareció el 2? Todo está bien y continuará estándolo. Cierra los ojos, confía en la Guía Divina y deja que la esperanza transforme tu camino.","Is 2 appearing? Everything is fine and will continue to be. Close your eyes, trust the Divine Guidance, and let hope transform your path."
3,5,Propósito y Elevación,"Vista panorámica desde una cima","Coros sutiles o cuencos tibetanos","¿Ves el 3? Grandes guías espirituales te acompañan ahora. Detente un segundo y siente su energía amorosa protegiendo cada paso tuyo.","Seeing 3? Great spiritual guides are with you now. Pause for a second and feel their loving energy protecting your every step."
4,1,Presencia y Protección,"Cielo azul despejado o nubes muy suaves","Campanillas de viento o tonos etéreos","¿El 4 te persigue? No temas. La Energía Cósmica te escucha, te acompaña y te rodea de absoluta paz en este instante.","Is 4 following you? Have no fear. The Cosmic Energy hears you, walks with you, and surrounds you with absolute peace right now."
5,3,Cambio y Transición,"Sendero en un bosque con hojas moviéndose","Ritmo suave con sensación de avance o viento","¿Aparece el 5? Un cambio poderoso está ocurriendo y es para algo mejor. Suelta el pasado con gratitud y ábrete a lo nuevo.","Seeing 5? A powerful change is occurring, and it is for the better. Release the past with gratitude and open yourself to the new."
6,2,Flujo y Abundancia,"Olas de mar suaves o lago tranquilo","Sonido de agua fluyendo y música pacífica","¿Notaste el 6? Suelta ahora la preocupación por lo material. Confía en que el Universo ya está proveyendo todo lo que necesitas.","Noticed 6? Let go of your worry about material things now. Trust that the Universe is already providing everything you need."
7,4,Fe y Manifestación,"Bosque luminoso con rayos de sol filtrándose","Piano optimista y alegre","¿Ves el 7? Estás en el camino correcto. La magia del Universo abre puertas maravillosas para ti. El resultado superará tus expectativas.","Seeing 7? You are on the right path. The Universe's magic is opening wonderful doors for you. The result will exceed your expectations."
8,2,Flujo y Abundancia,"Cascada brillante o río caudaloso fluyendo","Sonidos ambientales acuáticos y música majestuosa","¿Apareció el 8? El Universo acaba de abrir un flujo infinito de abundancia para ti. Suelta el miedo y prepárate para recibir.","Did 8 appear? The Universe just opened an infinite flow of abundance for you. Release fear and get ready to receive."
9,5,Propósito y Elevación,"Montañas majestuosas y cielos vastos","Cuerdas profundas y emotivas","¿Ves el 9? El mundo necesita tu luz. Estás listo para cumplir tu propósito en esta vida. Da ese primer paso hoy.","Seeing 9? The world needs your light. You are ready to fulfill your purpose in this life. Take that first step today."
10,4,Fe y Manifestación,"Amanecer dorado sobre un horizonte despejado","Piano suave con notas ascendentes","¿Ves el 10? El Universo te pide mantener pensamientos positivos. Todo lo que visualizas ahora se está materializando a tu favor.","Seeing 10? The Universe asks you to keep positive thoughts. Everything you visualize now is materializing in your favor."
11,4,Fe y Manifestación,"Camino iluminado por faroles al atardecer","Piano con crescendo inspirador","¿El 11 te busca? Tus pensamientos son semillas poderosas en este instante. Elige solo los que reflejan la vida que mereces.","Is 11 finding you? Your thoughts are powerful seeds right now. Choose only those that reflect the life you deserve."
12,4,Fe y Manifestación,"Rayos de luz filtrándose entre árboles","Melodía de piano serena y esperanzadora","¿Apareció el 12? Mantén la fe inquebrantable. Lo que parece lento está tomando forma perfecta detrás del escenario.","Did 12 appear? Keep unshakeable faith. What seems slow is taking perfect shape behind the scenes."
13,4,Fe y Manifestación,"Puerta antigua abierta hacia la luz","Piano con notas celestiales","¿Ves el 13? Guías espirituales sostienen tu visión. Tus ideas positivas están siendo amplificadas por la Energía Cósmica ahora mismo.","Seeing 13? Spiritual guides are holding your vision. Your positive ideas are being amplified by the Cosmic Energy right now."
14,4,Fe y Manifestación,"Horizonte con rayos dorados atravesando nubes","Piano gentil con arpegios suaves","¿El 14 aparece? La Guía Divina protege cada pensamiento positivo que creas. Confía, estás siendo cuidado en cada paso.","Is 14 appearing? The Divine Guidance protects every positive thought you create. Trust, you are being cared for in every step."
15,4,Fe y Manifestación,"Sendero luminoso entre campos verdes","Piano con toques de esperanza","¿Ves el 15? Un cambio extraordinario nace de tus pensamientos. La Energía Cósmica transforma lo que imaginas en realidad.","Seeing 15? An extraordinary change is born from your thoughts. The Cosmic Energy transforms what you imagine into reality."
16,4,Fe y Manifestación,"Ventana abierta con luz dorada entrando","Piano contemplativo y cálido","¿Apareció el 16? Tus palabras son imanes cósmicos. Cuida lo que dices y piensas, porque el Universo materializa exactamente eso.","Did 16 appear? Your words are cosmic magnets. Be mindful of what you say and think, because the Universe materializes exactly that."
17,4,Fe y Manifestación,"Camino dorado bajo cielo despejado","Piano brillante y optimista","¿El 17 te sigue? Estás manifestando tu camino ideal. El Universo celebra tus decisiones y abre paso a la abundancia.","Is 17 following you? You are manifesting your ideal path. The Universe celebrates your decisions and clears the way to abundance."
18,4,Fe y Manifestación,"Puerta luminosa abriéndose al amanecer","Piano majestuoso con notas de triunfo","¿Ves el 18? Un torrente de prosperidad se activa con cada pensamiento positivo. La Guía Divina confirma tu abundancia ahora.","Seeing 18? A torrent of prosperity activates with every positive thought. The Divine Guidance confirms your abundance now."
19,4,Fe y Manifestación,"Camino ascendente iluminado al atardecer","Piano emotivo con profundidad","¿Apareció el 19? Tu propósito de vida se manifiesta ahora. Cree en ti y en la misión que la Energía Cósmica diseñó para ti.","Did 19 appear? Your life purpose is manifesting now. Believe in yourself and the mission the Cosmic Energy designed for you."
20,4,Fe y Manifestación,"Rayos de sol brillando sobre un valle verde","Piano dulce y reconfortante","¿Ves el 20? El Universo te pide que llenes tu corazón de fe. Tu conexión con la Guía Divina nunca ha sido más fuerte.","Seeing 20? The Universe asks you to fill your heart with faith. Your connection to the Divine Guidance has never been stronger."
21,4,Fe y Manifestación,"Amanecer sobre el mar con cielo rosado","Piano con melodía ascendente","¿El 21 aparece? Mantén el optimismo firme. Tus pensamientos positivos están manifestando exactamente lo que tu alma necesita.","Is 21 appearing? Stay firmly optimistic. Your positive thoughts are manifesting exactly what your soul needs."
22,4,Fe y Manifestación,"Luz dorada atravesando un bosque de pinos","Piano con notas cristalinas","¿Ves el 22? Tu fe mueve montañas. Todo se está alineando perfectamente aunque no puedas verlo. Confía en el proceso.","Seeing 22? Your faith moves mountains. Everything is aligning perfectly even if you can't see it. Trust the process."
23,4,Fe y Manifestación,"Puerta de jardín abierta con luz cálida","Piano sereno con matices celestiales","¿Apareció el 23? Guías espirituales te recuerdan que la esperanza es tu superpoder. Tu fe está creando milagros silenciosos.","Did 23 appear? Spiritual guides remind you that hope is your superpower. Your faith is creating silent miracles."
24,4,Fe y Manifestación,"Horizonte dorado con nubes luminosas","Piano con arpas suaves de fondo","¿El 24 te busca? La Guía Divina y la fe se unen para protegerte. Cada oración silenciosa ya fue escuchada por el Universo.","Is 24 finding you? The Divine Guidance and faith unite to protect you. Every silent prayer has already been heard by the Universe."
